Module Code,Module Name,Number of Students,Department/School/Institute,Academic Year,Period
DENM030,Biomechanics,5,School of Engineering & Material Science,2011/12,SEM1
DENM032,Aeroelasticity,11,School of Engineering & Material Science,2011/12,SEM2
DENM033,Vehicular Crashworthiness,11,School of Engineering & Material Science,2011/12,SEM1
DENM035,Renewable Energy Sources,10,School of Engineering & Material Science,2011/12,SEM1
DIN3001,Oral Health Education,9,Dental School / Institute of Dentistry,2011/12,YEAR
DIN3002,Oral Health Promotion,9,Dental School / Institute of Dentistry,2011/12,YEAR
DIN4001,Introduction to Clinical Dentistry,10,Dental School / Institute of Dentistry,2011/12,YEAR
DIN4003,Human Sciences and Medical Ethics,10,Dental School / Institute of Dentistry,2011/12,YEAR
DIN4004,Plaque Related Diseases,10,Dental School / Institute of Dentistry,2011/12,YEAR
DIN4005,Selected Study Component,10,Dental School / Institute of Dentistry,2011/12,YEAR
DIN4006,Health and Illness,11,Dental School / Institute of Dentistry,2011/12,YEAR
DIN4007,Clinical Periodontology,11,Dental School / Institute of Dentistry,2011/12,YEAR
DIN4008,Integrated Clinical Care,11,Dental School / Institute of Dentistry,2011/12,YEAR
DIN4009,Paediatric Dentistry,11,Dental School / Institute of Dentistry,2011/12,YEAR
DIN6000,Oral Biology,8,Dental School / Institute of Dentistry,2011/12,SEM1
DIN7001,"Management, Leadership, Communication and Teamwork",4,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7002,"Statistics, Ethics and Research Methods",64,Dental School / Institute of Dentistry,2011/12,SEM1
DIN7004,Occlusion,4,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7006,Aesthetics,4,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7007,Advanced Technical Practice,4,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7009,Properties of Dental Materials/Processing Methods II,18,Dental School / Institute of Dentistry,2011/12,SEM2
DIN7022,Techniques in Cell and Molecular Biology,6,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7023,Biology of Oral Tissues,7,Dental School / Institute of Dentistry,2011/12,SEM1
DIN7025,Inflammation and Immunology (General and Oral),7,Dental School / Institute of Dentistry,2011/12,SEM1
DIN7027,Laboratory Techniques,6,Dental School / Institute of Dentistry,2011/12,SEM2
DIN7029,Research Project,6,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7041,Clinical Skills I,15,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7042,Clinical Skills II - Manikin (Typodont) Practical Skills,5,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7051,Epidemiology I: Methods,7,Dental School / Institute of Dentistry,2011/12,SEM1
DIN7053,Epidemiology II: Oral Health Trends,7,Dental School / Institute of Dentistry,2011/12,SEM2
DIN7054,Principles of Planning,6,Dental School / Institute of Dentistry,2011/12,SEM2
DIN7055,Health Education and Health Promotion,6,Dental School / Institute of Dentistry,2011/12,SEM2
DIN7056,Evidence-Based Dentistry and Critical Appraisal,7,Dental School / Institute of Dentistry,2011/12,SEM2
DIN7057,Research Project (Dental Public Health),6,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7060,Introduction to Periodontics,4,Dental School / Institute of Dentistry,2011/12,SEM1
DIN7061,Scientific Basis for Periodontology,4,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7066,Complex Case Management,3,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7067,Research Project (Periodontology),4,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7070,Basic Medical Sciences,2,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7072,"Anaesthesia, Sedation and Pain Management",2,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7075,Oral Medicine,2,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7077,Oral Implantology,0,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7079,Orthodontics in Relation to Oral Surgery,0,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7081,Clinical Audit,0,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7082,Research Project (Oral Surgery),2,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7101,Occlusion and TMJD,6,Dental School / Institute of Dentistry,2011/12,SEM1
DIN7103,Biomaterials in Prosthodontics,5,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7104,Adhesive Dentistry,5,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7105,Diagnosis and Treatment Planning 1,5,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7106,Management of Tooth Wear,5,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7107,Fixed Partial Dentures (Adhesive and Conventional),5,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7108,Removable Partial Dentures and Prefabricated Attachments,5,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7110,Diagnosis and Treatment Planning 2,6,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7111,Implants and Prosthodontics,6,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7112,Clinical Audit,6,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7121,Clinical and Laboratory Tests and their Interpretation,0,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7123,Multidisciplinary Management of the Oral Manifestations of Systemic Disease,0,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7124,Literature Review,0,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7125,Audit Project,0,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7131,Basic Knowledge in Paediatric Dentistry,3,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7133,Advanced Knowledge in Paediatric Dentistry II,2,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7134,Basic Clinical Skills and Case Mix,3,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7134,Basic Clinical Skills and Case Mix,0,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7135,Specific Clinical Skills,3,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7135,Specific Clinical Skills,0,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7136,Clinical Diagnosis and Treatment Planning,3,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7136,Clinical Diagnosis and Treatment Planning,0,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7137,Research Project (Paediatric Dentistry),3,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7137,Research Project (Paediatric Dentistry),0,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7140,Growth and Development,4,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7141,Malocclusion,4,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7143,Diagnosis and Treatment Planning,4,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7145,Multidisciplinary Interface,4,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7147,Research Project (Orthodontics),4,Dental School / Institute of Dentistry,2011/12,YEAR
WHR7047,Musculoskeletal Assessment 2,0,William Harvey Research Institute,2011/12,SEM2
DIN7152,Minimally Invasive Dentistry,14,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7153,Oral Microbiology,11,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7154,Biomineralisation and Biomimetics,11,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7160,Implant Dentistry Project,0,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7996,Taught Module 2,0,Dental School / Institute of Dentistry,2011/12,YEAR
DIN7997,Clinical Module 2,0,Dental School / Institute of Dentistry,2011/12,YEAR
DRA100,The Paradox of Performance,47,School of English & Drama - Department of Drama,2011/12,SEM2
DRA106,Performance in History,72,School of English & Drama - Department of Drama,2011/12,SEM2
DRA108,Theatre and its Others,69,School of English & Drama - Department of Drama,2011/12,SEM2
DRA109,London/Culture/Performance,83,School of English & Drama - Department of Drama,2011/12,SEM1
DRA111,Interventions,47,School of English & Drama - Department of Drama,2011/12,SEM2
DRA112,Languages of the Body,49,School of English & Drama - Department of Drama,2011/12,SEM1
SML201,The Romance Languages,5,School of Languages Linguistics and Film,2011/12,SEM2
DRA209,Reading Theatre,39,School of English & Drama - Department of Drama,2011/12,SEM2
RUS089,Russian Syntax,0,School of Languages Linguistics and Film,2011/12,SEM1
DRA218,Theatre Writings,17,School of English & Drama - Department of Drama,2011/12,SEM1
DRA234,Costume Drama: the Past Performed,22,School of English & Drama - Department of Drama,2011/12,SEM1
DRA241,Performance Studies and Interdisciplinarity,48,School of English & Drama - Department of Drama,2011/12,SEM1
SML304,Touch and Read: the Five Senses in Literary Modernism,32,School of Languages Linguistics and Film,2011/12,SEM1
BUSM024,International Marketing Communications,56,School of Business & Management,2011/12,SEM2
HST4302,The American Century: the United States since 1900,108,School of History,2011/12,YEAR
HST4302A,The American Century: the United States since 1900,9,School of History,2011/12,SEM1
DRA302,Beyond Acting,15,School of English & Drama - Department of Drama,2011/12,SEM1
SMLM018,Paris on the Screen,2,School of Languages Linguistics and Film,2011/12,SEM2
GEG4102,"Environment, Nature and Society",80,School of Geography,2011/12,SEM1
DRA325,Staging Countercultures,20,School of English & Drama - Department of Drama,2011/12,SEM2
DRA329,Written Research Project,33,School of English & Drama - Department of Drama,2011/12,SEM2
DRA333,Offstage London,23,School of English & Drama - Department of Drama,2011/12,SEM1
DRA336,Managing Theatre,16,School of English & Drama - Department of Drama,2011/12,SEM1
DRA337,Performance and Community,25,School of English & Drama - Department of Drama,2011/12,SEM1
DRA340,"Just for Tourists: Travel, Event, Performance",15,School of English & Drama - Department of Drama,2011/12,SEM1
DRA7700,Independent Written Project,3,School of English & Drama - Department of Drama,2011/12,SEM2
DRA7701,Independent Practical Project,12,School of English & Drama - Department of Drama,2011/12,SEM2
DRA7702,Historiography and Archives,13,School of English & Drama - Department of Drama,2011/12,SEM2
DRA7704,Performance Lab,8,School of English & Drama - Department of Drama,2011/12,SEM1
DRA7705,Contemporary Theatre and Performance,12,School of English & Drama - Department of Drama,2011/12,SEM2
DRA7706,Theatre and Performance Theory,14,School of English & Drama - Department of Drama,2011/12,SEM1
EBC3000,Personal Development Plan,543,School of Engineering & Computer Science,2011/12,YEAR
EBC4000,Personal Development Plan 2,507,School of Engineering & Computer Science,2011/12,YEAR
EBC5000,Personal Development Plan 3,444,School of Engineering & Computer Science,2011/12,YEAR
EBC6000,Engineering Environment,340,School of Engineering & Computer Science,2011/12,YEAR
EBC6001,Engineering Environment,155,School of Engineering & Computer Science,2011/12,YEAR
EBU4201,Introductory Java Programming,507,School of Engineering & Computer Science,2011/12,SEM2
EBU5016,Intellectual Property Law,127,School of Engineering & Computer Science,2011/12,SEM2
EBU5027,e-Commerce Law,129,School of Engineering & Computer Science,2011/12,SEM1
EBU5302,Telecommunications Systems,551,School of Engineering & Computer Science,2011/12,SEM1
EBU5305,Interactive Media Design and Production,101,School of Engineering & Computer Science,2011/12,SEM1
EBU5374,Signals and Systems Theory,1,School of Engineering & Computer Science,2011/12,SEM1
GEG4103,Geographical Perspectives,4,School of Geography,2011/12,SEM1
EBU5475,Microprocessor Systems Design,217,School of Engineering & Computer Science,2011/12,SEM2
EBU5609,Logistics and Supply Chain Management,127,School of Engineering & Computer Science,2011/12,SEM2
EBU6009,Computer Crime,154,School of Engineering & Computer Science,2011/12,SEM1
EBU6042,Advanced Network Programming,181,School of Engineering & Computer Science,2011/12,SEM1
EBU6444,Communication Systems Electronics,178,School of Engineering & Computer Science,2011/12,SEM1
EBU6569,Microwave Electronics,178,School of Engineering & Computer Science,2011/12,SEM1
EBU6610,Information Systems Management,130,School of Engineering & Computer Science,2011/12,SEM1
EBU706U,Multimedia Systems,135,School of Engineering & Computer Science,2011/12,SEM1
EBU723U,Image and Video Processing,135,School of Engineering & Computer Science,2011/12,SEM1
QLLM106,"EU Constitutional Law I: Concepts, Values and Principles",2,School of Law / Centre for Commercial Law Studies,2011/12,SEM2
EBU732U,Digital Broadcasting,101,School of Engineering & Computer Science,2011/12,SEM2
ECN102,World Economy,16,School of Economics & Finance,2011/12,SEM1
ECN106,Macroeconomics I,197,School of Economics & Finance,2011/12,SEM2
ECN111,Microeconomics I,191,School of Economics & Finance,2011/12,SEM2
ECN112,Spreadsheets and Data in Economics,4,School of Economics & Finance,2011/12,SEM1
ECN113,Principles of Economics,5,School of Economics & Finance,2011/12,SEM1
ECN114,Mathematical Methods in Economics and Business I (MMEB I),166,School of Economics & Finance,2011/12,SEM1
ECN120,Elements of Accounting,28,School of Economics & Finance,2011/12,SEM2
ECN121,Statistical Methods in Economics,148,School of Economics & Finance,2011/12,SEM2
ECN199,Economic Principles,24,School of Economics & Finance,2011/12,SEM1
ECN205,Money and Banking,73,School of Economics & Finance,2011/12,SEM2
ECN206,Macroeconomics II,7,School of Economics & Finance,2011/12,SEM1
ECN209,International Finance,53,School of Economics & Finance,2011/12,SEM2
ECN211,Microeconomics II,168,School of Economics & Finance,2011/12,SEM2
ECN214,Games and Strategies,31,School of Economics & Finance,2011/12,SEM1
ECN222,Financial Markets and Institutions,113,School of Economics & Finance,2011/12,SEM1
ECN223,Selected Topics in Macroeconomics,60,School of Economics & Finance,2011/12,SEM2
ECN224,Econometrics 1,102,School of Economics & Finance,2011/12,SEM1
ECN225,Econometrics 2,104,School of Economics & Finance,2011/12,SEM2
ECN226,Capital Markets 1,137,School of Economics & Finance,2011/12,SEM2
ECN231,Economics of Social Issues,33,School of Economics & Finance,2011/12,SEM1
ECN231,Economics of Social Issues,27,School of Economics & Finance,2011/12,SEM1
ECN302,Corporate Strategy,89,School of Economics & Finance,2011/12,SEM1
ECN302,Corporate Strategy,6,School of Economics & Finance,2011/12,SEM1
ECN322,Topics in Econometrics,20,School of Economics & Finance,2011/12,SEM1
ECN322,Topics in Econometrics,0,School of Economics & Finance,2011/12,SEM1
ECN325,Economics Project II,3,School of Economics & Finance,2011/12,YEAR
ECN326,Economics Project I,0,School of Economics & Finance,2011/12,SEM1
ECN326,Economics Project I,2,School of Economics & Finance,2011/12,SEM2
ECN331,Industrial Economics,67,School of Economics & Finance,2011/12,SEM2
ECN336,Applied Econometrics,11,School of Economics & Finance,2011/12,SEM1
ECN344,Economics of Technology and Innovation,35,School of Economics & Finance,2011/12,SEM2
ECN346,Business Cycles,29,School of Economics & Finance,2011/12,SEM2
ECN352,Public Economics,28,School of Economics & Finance,2011/12,SEM2
ECN355,Macroeconomic Policy,32,School of Economics & Finance,2011/12,SEM1
ECN356,Labour Economics,54,School of Economics & Finance,2011/12,SEM2
ECN358,Futures and Options,65,School of Economics & Finance,2011/12,SEM2
ECN361,Advanced Microeconomics,60,School of Economics & Finance,2011/12,SEM1
ECN369,Health Economics,5,School of Economics & Finance,2011/12,SEM1
ECN370,Development Economics,46,School of Economics & Finance,2011/12,SEM1
ECN371,Corporate Finance 1,90,School of Economics & Finance,2011/12,SEM1
ECN371,Corporate Finance 1,10,School of Economics & Finance,2011/12,SEM1
ECN372,Corporate Finance 2,77,School of Economics & Finance,2011/12,SEM2
ECOM002,Microeconomics A,15,School of Economics & Finance,2011/12,SEM1
ECOM003,Econometrics A,34,School of Economics & Finance,2011/12,SEM1
ECOM009,Macroeconomics B,12,School of Economics & Finance,2011/12,SEM2
ECOM014,Time Series Analysis,13,School of Economics & Finance,2011/12,SEM1
ECOM015,Corporate Finance,55,School of Economics & Finance,2011/12,SEM1
ECOM025,Financial Econometrics,19,School of Economics & Finance,2011/12,SEM2
ECOM026,Financial Derivatives,234,School of Economics & Finance,2011/12,SEM2
ECOM032,Econometrics B,9,School of Economics & Finance,2011/12,SEM2
ECOM035,International Finance,132,School of Economics & Finance,2011/12,SEM2
ECOM036,Mathematics for Economists,13,School of Economics & Finance,2011/12,SEM1
ECOM037,Quantitative Techniques,92,School of Economics & Finance,2011/12,SEM1
ECOM038,Behavioural Finance,105,School of Economics & Finance,2011/12,SEM2
ECOM043,Quantitative Asset Pricing,0,School of Economics & Finance,2011/12,SEM1
ECOM044,Advanced Asset Pricing and Modelling,46,School of Economics & Finance,2011/12,SEM2
GEG4102,"Environment, Nature and Society",16,School of Geography,2011/12,SEM1
ECOM049,Commercial and Investment Banking,280,School of Economics & Finance,2011/12,SEM1
ECOM051,Business Finance,89,School of Economics & Finance,2011/12,SEM1
ECOM052,Financial Statements,203,School of Economics & Finance,2011/12,SEM1
ECOM055,Risk Management for Banking,225,School of Economics & Finance,2011/12,SEM2
ECOM056,Empirical Macroeconomics,1,School of Economics & Finance,2011/12,SEM2
ECOM057,Asset Management,237,School of Economics & Finance,2011/12,SEM2
ECOM059,Applied Risk Management,137,School of Economics & Finance,2011/12,SEM2
ELE005,Networking Modelling and Performance,4,School of Engineering & Computer Science,2011/12,SEM2
ELE006,Multimedia Systems,42,School of Engineering & Computer Science,2011/12,SEM2
ELE012,Network Internet Databases,18,School of Engineering & Computer Science,2011/12,SEM2
ELE014,Security and Authentication,36,School of Engineering & Computer Science,2011/12,SEM1
ELE015,Protocols for the Electronic Marketplace,0,School of Engineering & Computer Science,2011/12,SEM2
ELE018,Advanced Transform Methods,23,School of Engineering & Computer Science,2011/12,SEM1
ELE019,Real Time Digital Signal Processing,1,School of Engineering & Computer Science,2011/12,SEM1
ELE021,Music and Speech Processing,5,School of Engineering & Computer Science,2011/12,SEM2
ELE025,Wireless Networks,37,School of Engineering & Computer Science,2011/12,SEM2
ELE026,Satellite Communications,1,School of Engineering & Computer Science,2011/12,SEM2
ELE032,Digital Broadcasting,0,School of Engineering & Computer Science,2011/12,SEM1
ELE035,Music Analysis and Synthesis,1,School of Engineering & Computer Science,2011/12,SEM2
ELE036,Digital Audio Effects,3,School of Engineering & Computer Science,2011/12,SEM2
ELE038,Mobile Services,0,School of Engineering & Computer Science,2011/12,SEM2
ELE102,Introduction to Electronic Systems,98,School of Engineering & Computer Science,2011/12,SEM1
ELE102,Introduction to Electronic Systems,1,School of Engineering & Computer Science,2011/12,SEM1
ELE103,Telecommunications and Internet Fundamentals,131,School of Engineering & Computer Science,2011/12,SEM1
ELE103,Telecommunications and Internet Fundamentals,0,School of Engineering & Computer Science,2011/12,SEM1
ELE104,Professional Applications,134,School of Engineering & Computer Science,2011/12,SEM2
ELE105,Introduction to Multimedia,14,School of Engineering & Computer Science,2011/12,SEM1
ELE161,Programming Fundamentals,69,School of Engineering & Computer Science,2011/12,SEM1
ELE161,Programming Fundamentals,0,School of Engineering & Computer Science,2011/12,SEM1
ELE202,Digital Circuit Design,103,School of Engineering & Computer Science,2011/12,SEM2
ELE206,Circuit Design and Applications,66,School of Engineering & Computer Science,2011/12,SEM2
ELE210,Electric and Magnetic Fields,81,School of Engineering & Computer Science,2011/12,SEM2
ELE293,Electrical Power Engineering,34,School of Engineering & Computer Science,2011/12,SEM2
ELE302,Telecom Systems,0,School of Engineering & Computer Science,2011/12,SEM1
ELE404,Internet Applications,123,School of Engineering & Computer Science,2011/12,SEM2
ELE304,Software Engineering,81,School of Engineering & Computer Science,2011/12,SEM1
ELE305,Interactive Media Design and Production,27,School of Engineering & Computer Science,2011/12,SEM1
ELE335,Digital Systems Design,91,School of Engineering & Computer Science,2011/12,SEM1
ELE335,Digital Systems Design,0,School of Engineering & Computer Science,2011/12,SEM1
EBU6501,Middleware,0,School of Engineering & Computer Science,2011/12,SEM1
AMCD053,C++ for Image Processing,0,School of Engineering & Computer Science,2011/12,SEM1
AMCD055,Software Risk Assessment,0,School of Engineering & Computer Science,2011/12,SEM2
ELE303,Electronic Devices and Applications,48,School of Engineering & Computer Science,2011/12,SEM2
AMCM016,Interactive Systems Design,11,School of Engineering & Computer Science,2011/12,SEM2
ELE403,Internet Protocols,155,School of Engineering & Computer Science,2011/12,SEM1
AMCM043,Structured Documents and XML,32,School of Engineering & Computer Science,2011/12,SEM1
AMCM046,Foundations for Information Retrieval,31,School of Engineering & Computer Science,2011/12,SEM1
AMCM047,Special Topics in Information Retrieval,19,School of Engineering & Computer Science,2011/12,SEM2
AMCM048,Advanced Program Design,28,School of Engineering & Computer Science,2011/12,SEM1
AMCM049,Specification and Verification,16,School of Engineering & Computer Science,2011/12,SEM2
QLLM056A,International Law and Development A,0,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
AMCM051,The Semantic Web,21,School of Engineering & Computer Science,2011/12,SEM2
AMCM052,Entrepreneurship in Information Technology,35,School of Engineering & Computer Science,2011/12,SEM2
AMCM053,C++ for Image Processing,4,School of Engineering & Computer Science,2011/12,SEM1
AMCM054,Distributed Systems and Security,11,School of Engineering & Computer Science,2011/12,SEM1
AMCM056,Research Methods I,58,School of Engineering & Computer Science,2011/12,SEM1
AMCM057,Research Methods II,44,School of Engineering & Computer Science,2011/12,SEM2
AMCM059,Design for Human Interaction,14,School of Engineering & Computer Science,2011/12,SEM1
AMCM061,Computational Genomics,3,School of Engineering & Computer Science,2011/12,SEM2
POLM004,Case Studies in British Policymaking,16,School of Politics & International Relations,2011/12,SEM2
AMCM063,C++ for Image and Audio Processing,0,School of Engineering & Computer Science,2011/12,YEAR
AMCM067,IT Programming,20,School of Engineering & Computer Science,2011/12,SEM1
AMCM068,Business Information Systems,15,School of Engineering & Computer Science,2011/12,SEM2
AMCM224,Graphical User Interfaces,10,School of Engineering & Computer Science,2011/12,SEM2
AMCM234,Software Engineering Theory,0,School of Engineering & Computer Science,2011/12,SEM1
AMCM306,High Performance Computing,11,School of Engineering & Computer Science,2011/12,SEM2
AMCM310,Systems Analysis,16,School of Engineering & Computer Science,2011/12,SEM1
AMCM333,Algorithms and Complexity,7,School of Engineering & Computer Science,2011/12,SEM1
AST740P,Electromagnetic Radiation in Astrophysics,11,School of Physics & Astronomy,2011/12,SEM2
ELE374,Signals and Systems Theory,106,School of Engineering & Computer Science,2011/12,SEM1
ELE402,Enterprise Management,96,School of Engineering & Computer Science,2011/12,SEM1
ELE402,Enterprise Management,0,School of Engineering & Computer Science,2011/12,SEM1
ELE405,3D Graphics Programming Tools,5,School of Engineering & Computer Science,2011/12,SEM2
ELE406,Network Programming,61,School of Engineering & Computer Science,2011/12,SEM2
ELE444,Communication Systems Electronics,84,School of Engineering & Computer Science,2011/12,SEM2
ELE475,Microprocessor Systems Design,63,School of Engineering & Computer Science,2011/12,SEM2
ELE490,Design and Build Project in Electronic Engineering,100,School of Engineering & Computer Science,2011/12,SEM2
ELE502,Digital Signal Processing,40,School of Engineering & Computer Science,2011/12,SEM1
ELE502,Digital Signal Processing,0,School of Engineering & Computer Science,2011/12,SEM1
ELE540,Emergent Multimedia Applications and Technologies,8,School of Engineering & Computer Science,2011/12,SEM1
ELE569,Microwave Electronics,0,School of Engineering & Computer Science,2011/12,SEM1
ELE591,Integrated Circuit Design,79,School of Engineering & Computer Science,2011/12,SEM1
ELE595,Software Tools for Engineers,30,School of Engineering & Computer Science,2011/12,SEM1
ELE595,Software Tools for Engineers,0,School of Engineering & Computer Science,2011/12,SEM1
ELE606,Product Development,96,School of Engineering & Computer Science,2011/12,SEM2
ELE610,Information Systems Management,53,School of Engineering & Computer Science,2011/12,SEM1
ELE611,Artificial Intelligence,68,School of Engineering & Computer Science,2011/12,SEM2
ELE794,Advanced Electrical and Electronic Studies,9,School of Engineering & Computer Science,2011/12,SEM1
ELED005,Networking Modelling and Performance,6,School of Engineering & Computer Science,2011/12,SEM2
ELED007,Intelligent Agents and Multi-Agent Systems,3,School of Engineering & Computer Science,2011/12,SEM2
ELED011,Internet Infrastructure,10,School of Engineering & Computer Science,2011/12,SEM1
ELED014,Security and Authentication,11,School of Engineering & Computer Science,2011/12,SEM1
ELED015,Protocols for the Electronic Marketplace,2,School of Engineering & Computer Science,2011/12,SEM2
ELED019,Real Time Digital Signal Processing,0,School of Engineering & Computer Science,2011/12,SEM1
ELED020,Fundamentals of Digital Signal Processing,1,School of Engineering & Computer Science,2011/12,SEM1
ELED023,Image and Video Processing,0,School of Engineering & Computer Science,2011/12,SEM2
ELED025,Wireless Networks,10,School of Engineering & Computer Science,2011/12,SEM2
ELED026,Satellite Communications,7,School of Engineering & Computer Science,2011/12,SEM2
ELED027,Research Techniques in Electronic Engineering,0,School of Engineering & Computer Science,2011/12,YEAR
ELED028,CAD Techniques for RF Electromagnetics,0,School of Engineering & Computer Science,2011/12,SEM1
ELED029,Antennas for Mobile Applications,0,School of Engineering & Computer Science,2011/12,SEM2
ELED030,Radio Wave Propagation for Wireless Communications,0,School of Engineering & Computer Science,2011/12,SEM2
ELED031,Business Technology Strategy,0,School of Engineering & Computer Science,2011/12,SEM1
ELED032,Digital Broadcasting,9,School of Engineering & Computer Science,2011/12,SEM1
ELED036,Digital Audio Effects,0,School of Engineering & Computer Science,2011/12,SEM2
ELED037,Ad Hoc and Broadband Wireless,2,School of Engineering & Computer Science,2011/12,SEM2
ELED038,Mobile Services,1,School of Engineering & Computer Science,2011/12,SEM2
ELED043,"Network Planning, Finance and Management",0,School of Engineering & Computer Science,2011/12,SEM2
ELED111,MSc Research Project,0,School of Engineering & Computer Science,2011/12,YEAR
ELED406,Network Programming,0,School of Engineering & Computer Science,2011/12,SEM2
ELEM002,Advanced Software Technologies,1,School of Engineering & Computer Science,2011/12,SEM1
ELEM004,Network Computing and Internet Technologies,9,School of Engineering & Computer Science,2011/12,SEM1
ASTM001,Solar System,14,School of Physics & Astronomy,2011/12,SEM1
ASTM001,Solar System,0,School of Physics & Astronomy,2011/12,SEM1
ASTM002,The Galaxy,15,School of Physics & Astronomy,2011/12,SEM2
ASTM024,Project/Dissertation,15,School of Physics & Astronomy,2011/12,YEAR
ASTM108,Cosmology,30,School of Physics & Astronomy,2011/12,SEM1
ASTM108,Cosmology,0,School of Physics & Astronomy,2011/12,SEM1
HST6322,The British Empire in Political Thought from the Eighteenth Century to the Twentieth Century,39,School of History,2011/12,SEM2
BBC3923,English 2,545,School of Engineering & Computer Science,2011/12,SEM2
BBC4102,Introduction to Electronic Systems,545,School of Engineering & Computer Science,2011/12,SEM2
BBC4111,Engineering Mathematics 2,510,School of Engineering & Computer Science,2011/12,SEM1
BBC4911,Advanced Mathematics 1,545,School of Engineering & Computer Science,2011/12,SEM1
BBC4913,Linear Algebra,544,School of Engineering & Computer Science,2011/12,SEM1
BBC4921,Advanced Mathematics 2,545,School of Engineering & Computer Science,2011/12,SEM2
BBC4922,Physics,545,School of Engineering & Computer Science,2011/12,SEM2
BBC4931,Electronic and Circuit Foundation,353,School of Engineering & Computer Science,2011/12,SEM1
BBC4941,Probability Theory and Stochastic Statistics,507,School of Engineering & Computer Science,2011/12,SEM2
ELEM004,Network Computing and Internet Technologies,0,School of Engineering & Computer Science,2011/12,SEM1
ELEM005,Networking Modelling and Performance,10,School of Engineering & Computer Science,2011/12,SEM2
ELEM006,Multimedia Systems,12,School of Engineering & Computer Science,2011/12,SEM2
ELEM007,Intelligent Agents and Multi-Agent Systems,7,School of Engineering & Computer Science,2011/12,SEM2
ELEM011,Internet Infrastructure,44,School of Engineering & Computer Science,2011/12,SEM1
ELEM011,Internet Infrastructure,0,School of Engineering & Computer Science,2011/12,SEM1
ELEM012,Network Internet Databases,4,School of Engineering & Computer Science,2011/12,SEM2
ELEM014,Security and Authentication,1,School of Engineering & Computer Science,2011/12,SEM1
ELEM015,Protocols for the Electronic Marketplace,5,School of Engineering & Computer Science,2011/12,SEM2
ELEM018,Advanced Transform Methods,0,School of Engineering & Computer Science,2011/12,SEM1
ELEM019,Real Time Digital Signal Processing,9,School of Engineering & Computer Science,2011/12,SEM1
ELEM020,Fundamentals of Digital Signal Processing,0,School of Engineering & Computer Science,2011/12,SEM1
ELEM021,Music and Speech Processing,6,School of Engineering & Computer Science,2011/12,SEM2
ELEM025,Wireless Networks,37,School of Engineering & Computer Science,2011/12,SEM2
ELEM026,Satellite Communications,36,School of Engineering & Computer Science,2011/12,SEM2
ELEM028,CAD Techniques for RF Electromagnetics,6,School of Engineering & Computer Science,2011/12,SEM1
